"Points:0","Points:1","Points:2"
-0.003533,0.003235,-0.002888
-0.002734,0.003229,-0.002869
-0.002348,0.004207,-0.002968
-0.019318,-0.007179,-0.001816
-0.019727,-0.006402,-0.001846
-0.019,-0.006555,-0.001761
-0.018878,-0.006058,-0.002298
-0.014506,-0.005983,-0.002274
-0.013477,-0.006606,-0.001614
-0.019929,-0.00487,-0.002423
-0.019401,-0.004844,-0.001475
-0.018712,-0.005347,-0.001849
-0.018237,-0.005062,-0.001991
-0.017727,-0.005391,-0.001681
-0.017483,-0.004916,-0.002266
-0.016496,-0.005096,-0.0017
-0.016272,-0.005741,-0.00237
-0.015503,-0.00508,-0.002408
-0.015271,-0.005561,-0.001892
-0.014825,-0.005489,-0.001516
-0.014435,-0.005311,-0.002186
-0.013626,-0.005252,-0.002054
-0.011828,-0.004754,-0.002052
-0.018992,-0.00441,-0.002225
-0.018935,-0.003668,-0.001958
-0.017885,-0.004102,-0.001581
-0.017213,-0.003897,-0.0018
-0.016914,-0.004347,-0.002348
-0.016891,-0.003607,-0.002458
-0.016248,-0.003898,-0.002007
-0.015681,-0.004614,-0.002506
-0.015598,-0.003931,-0.002182
-0.015076,-0.004032,-0.002115
-0.014314,-0.004661,-0.002267
-0.014706,-0.003482,-0.002239
-0.013743,-0.004342,-0.002112
-0.013101,-0.003597,-0.002109
-0.011489,-0.004018,-0.001978
-0.010769,-0.003534,-0.001681
-0.010337,-0.004046,-0.002349
-0.009957,-0.003524,-0.00221
-0.005494,-0.004224,-0.001762
-0.002761,-0.003992,-0.001596
-0.001906,-0.003489,-0.002243
-0.000627,-0.004604,-0.001484
0.00242,-0.00346,-0.001787
-0.019342,-0.002362,-0.00154
-0.018918,-0.002292,-0.001881
-0.018872,-0.002981,-0.002292
-0.018454,-0.003382,-0.002428
-0.018554,-0.002605,-0.001863
-0.017585,-0.002588,-0.002493
-0.017552,-0.002943,-0.001932
-0.017404,-0.002607,-0.0016
-0.016131,-0.002399,-0.002458
-0.015851,-0.002715,-0.001996
-0.014274,-0.00261,-0.001664
-0.013147,-0.002628,-0.002139
-0.012136,-0.003322,-0.001504
-0.012002,-0.002324,-0.002123
-0.011907,-0.002826,-0.001854
-0.011596,-0.002308,-0.002227
-0.011382,-0.003066,-0.002454
-0.010815,-0.002935,-0.002414
-0.010271,-0.002522,-0.002345
-0.01005,-0.003142,-0.002063
-0.009585,-0.002272,-0.002127
-0.009475,-0.00325,-0.001849
-0.009321,-0.002182,-0.00174
-0.007482,-0.002904,-0.002211
-0.007296,-0.002219,-0.001735
-0.006661,-0.003418,-0.002186
-0.006445,-0.002235,-0.002552
-0.006571,-0.003085,-0.001721
-0.006245,-0.002984,-0.001856
-0.005249,-0.002231,-0.001995
-0.00527,-0.002477,-0.002134
-0.003941,-0.002885,-0.002181
-0.00385,-0.002527,-0.001478
-0.00348,-0.003023,-0.002236
-0.004337,-0.002323,-0.001535
-0.003116,-0.003005,-0.002143
-0.002755,-0.002683,-0.001457
-0.001123,-0.003233,-0.00146
-0.000537,-0.003282,-0.001921
-0.019906,-0.001361,-0.001821
-0.019827,-0.001324,-0.002194
-0.018742,-0.001194,-0.002497
-0.018593,-0.001662,-0.00247
-0.01771,-0.001832,-0.002253
-0.017659,-0.001302,-0.001983
-0.017326,-0.002079,-0.002409
-0.017371,-0.0012,-0.002462
-0.016441,-0.001161,-0.002406
-0.016246,-0.001726,-0.002407
-0.015774,-0.001948,-0.001542
-0.013969,-0.002038,-0.002183
-0.014859,-0.001905,-0.002089
-0.014581,-0.001106,-0.001843
-0.013895,-0.0009,-0.002043
-0.013335,-0.001522,-0.001993
-0.012795,-0.001185,-0.002167
-0.012648,-0.001839,-0.002374
-0.011972,-0.001413,-0.002441
-0.010786,-0.002008,-0.0025
-0.010923,-0.001179,-0.002412
-0.010327,-0.001478,-0.001969
-0.009617,-0.001201,-0.001684
-0.009421,-0.001688,-0.002063
-0.008485,-0.001325,-0.001505
-0.008152,-0.001291,-0.002144
-0.007827,-0.001428,-0.002263
-0.007264,-0.001316,-0.002351
-0.007742,-0.001675,-0.001446
-0.006479,-0.001295,-0.002383
-0.005639,-0.001259,-0.00176
-0.005327,-0.00167,-0.002221
-0.005142,-0.001529,-0.002277
-0.00479,-0.000988,-0.001681
-0.004229,-0.0017,-0.002558
-0.002177,-0.001646,-0.002204
-0.003035,-0.001629,-0.001444
-0.000438,-0.001864,-0.001931
-4.3e-05,-0.001344,-0.001455
0.001697,-0.001148,-0.001615
-0.019884,-0.00022,-0.002299
-0.01952,-0.000614,-0.002048
-0.019112,-0.000258,-0.002418
-0.018869,-0.000235,-0.002399
-0.018308,-0.000569,-0.002041
-0.018302,-0.000579,-0.002027
-0.018091,0.000126,-0.001548
-0.017601,8.8e-05,-0.002532
-0.017069,0.000281,-0.002478
-0.016768,-0.000479,-0.002531
-0.016313,-0.000252,-0.001663
-0.01593,-0.000705,-0.0024
-0.015375,-0.000222,-0.002111
-0.01513,-0.000652,-0.002129
-0.014021,0.000179,-0.002164
-0.01341,-0.000188,-0.002269
-0.013032,2.8e-05,-0.00157
-0.012562,-0.000434,-0.001889
-0.011945,-0.000787,-0.002535
-0.01212,-0.000287,-0.00218
-0.011619,-0.000157,-0.001985
-0.010339,-0.000826,-0.001959
-0.010986,-0.000119,-0.00223
-0.010859,-0.000496,-0.002245
-0.010311,-4.9e-05,-0.001853
-0.008464,-0.000106,-0.002272
-0.007625,-0.000596,-0.002083
-0.007293,3.2e-05,-0.00205
-0.007188,-0.000872,-0.001892
-0.006827,-0.000304,-0.002577
-0.005196,-0.000689,-0.001544
-0.004777,-0.000381,-0.002225
-0.004746,0.000307,-0.002117
-0.004505,0.000304,-0.002362
-0.004209,-0.00013,-0.002468
-0.004015,-0.000195,-0.001656
-0.004444,-0.000603,-0.001617
-0.00305,-0.0005,-0.001944
-0.002213,7.2e-05,-0.00181
-0.001196,-0.000613,-0.001821
-0.001868,0.000382,-0.00201
-0.000286,-0.000283,-0.00159
0.000729,-0.000278,-0.002013
0.002964,-0.000772,-0.001633
-0.019849,0.000771,-0.002206
-0.019668,0.001443,-0.002178
-0.018879,0.001477,-0.002364
-0.018615,0.000883,-0.002317
-0.018434,0.000995,-0.001641
-0.017175,0.001536,-0.002496
-0.016504,0.001346,-0.002015
-0.016308,0.000894,-0.002313
-0.014912,0.000528,-0.002162
-0.016072,0.001258,-0.00206
-0.015943,0.000832,-0.002263
-0.014935,0.001049,-0.002324
-0.013806,0.001286,-0.00149
-0.013658,0.000729,-0.001605
-0.012949,0.000437,-0.002398
-0.012524,0.001073,-0.002321
-0.011685,0.000528,-0.002513
-0.011856,0.001223,-0.002247
-0.011694,0.001441,-0.002251
-0.011254,0.001163,-0.002195
-0.01069,0.000547,-0.002438
-0.010325,0.001003,-0.001984
-0.010193,0.001665,-0.002383
-0.009029,0.000439,-0.001661
-0.009781,0.000624,-0.002142
-0.00962,0.00156,-0.001481
-0.009296,0.000869,-0.001612
-0.008722,0.000865,-0.001835
-0.007926,0.000596,-0.002206
-0.008098,0.000875,-0.001902
-0.007564,0.000785,-0.002396
-0.006557,0.000478,-0.002384
-0.007115,0.000823,-0.001629
-0.006643,0.000742,-0.002328
-0.006572,0.001405,-0.001882
-0.006052,0.000682,-0.001829
-0.005005,0.000597,-0.002697
-0.00539,0.001212,-0.002677
-0.005819,0.001232,-0.001916
-0.004748,0.001673,-0.002505
-0.004145,0.001633,-0.002705
-0.004407,0.000787,-0.002602
-0.004085,0.001097,-0.002476
-0.004282,0.001537,-0.002351
-0.003648,0.001594,-0.001848
-0.003425,0.000614,-0.002383
-0.001085,0.000523,-0.002315
-0.001102,0.001454,-0.001576
0.000123,0.001422,-0.002212
0.000923,0.001653,-0.001606
-0.019162,0.002792,-0.001969
-0.018708,0.002822,-0.002299
-0.018559,0.00221,-0.002223
-0.018526,0.002449,-0.002319
-0.018057,0.002143,-0.001717
-0.017185,0.002172,-0.002467
-0.016293,0.002492,-0.002463
-0.015886,0.002797,-0.002401
-0.015545,0.002009,-0.002307
-0.01504,0.00258,-0.001543
-0.014592,0.001914,-0.002287
-0.013757,0.001909,-0.002263
-0.013419,0.002336,-0.002261
-0.013418,0.002348,-0.002255
-0.012658,0.00189,-0.00246
-0.011413,0.002451,-0.002506
-0.011469,0.002062,-0.002557
-0.010416,0.002488,-0.002381
-0.010423,0.002101,-0.001533
-0.010192,0.00286,-0.002352
-0.009861,0.002217,-0.001704
-0.008671,0.002338,-0.001714
-0.00785,0.001681,-0.001649
-0.008361,0.002266,-0.001972
-0.00643,0.001678,-0.001482
-0.007058,0.001975,-0.002427
-0.006602,0.002257,-0.001561
-0.005937,0.00266,-0.002447
-0.005739,0.002443,-0.00201
-0.005293,0.002172,-0.002563
-0.004838,0.002688,-0.002587
-0.004912,0.002881,-0.002423
-0.004781,0.002381,-0.002581
-0.003973,0.002828,-0.002402
-0.004283,0.002854,-0.002457
-0.002768,0.001838,-0.002538
-0.003016,0.002193,-0.001568
-0.003171,0.002133,-0.002547
-0.002963,0.002758,-0.002115
-0.002637,0.002614,-0.001524
-0.000474,0.001766,-0.001492
-0.000171,0.002626,-0.001657
0.001001,0.002941,-0.002203
0.002427,0.002212,-0.001613
-0.019105,0.00323,-0.002016
-0.019037,0.004046,-0.002224
-0.018775,0.003825,-0.002421
-0.018635,0.003296,-0.002059
-0.017692,0.00325,-0.002174
-0.017486,0.003692,-0.002495
-0.017303,0.003998,-0.002462
-0.016693,0.003739,-0.002286
-0.016502,0.003178,-0.002406
-0.016152,0.004007,-0.002373
-0.015492,0.003893,-0.002229
-0.014439,0.003014,-0.002316
-0.014691,0.004138,-0.002034
-0.014066,0.003616,-0.001904
-0.013231,0.003029,-0.001805
-0.013353,0.003125,-0.002512
-0.013094,0.003649,-0.002061
-0.013091,0.003648,-0.00208
-0.012269,0.003664,-0.0023
-0.011995,0.004113,-0.002343
-0.011433,0.003341,-0.002507
-0.011283,0.003982,-0.002003
-0.010939,0.003368,-0.002418
-0.01073,0.003683,-0.002398
-0.010291,0.003725,-0.001819
-0.009695,0.003055,-0.002376
-0.009271,0.003533,-0.002286
-0.008989,0.003982,-0.001519
-0.008673,0.003975,-0.001948
-0.006236,0.00311,-0.001716
-0.006907,0.003704,-0.002148
-0.007185,0.004222,-0.002141
-0.00475,0.003085,-0.00235
-0.005611,0.003585,-0.001649
-0.005586,0.003815,-0.002199
-0.00537,0.003389,-0.002191
-0.005884,0.004156,-0.002088
-0.00396,0.003368,-0.001578
-0.002267,0.002968,-0.002394
-0.003246,0.003499,-0.002043
-0.002393,0.003794,-0.002465
-0.002991,0.003999,-0.001666
-0.001027,0.003236,-0.002437
-0.002081,0.003276,-0.002458
-0.002023,0.003894,-0.002497
-0.001795,0.004154,-0.002252
-0.001429,0.004183,-0.002417
8e-05,0.003132,-0.002037
0.000271,0.003826,-0.002214
0.001364,0.003606,-0.001837
0.002128,0.003341,-0.002253
-0.019546,0.005322,-0.002431
-0.019424,0.004642,-0.002092
-0.018571,0.004783,-0.00187
-0.018316,0.005207,-0.002152
-0.018007,0.004944,-0.002224
-0.017475,0.004932,-0.001475
-0.016768,0.005293,-0.00244
-0.016268,0.00489,-0.002409
-0.015868,0.004718,-0.002269
-0.014993,0.005269,-0.001547
-0.013659,0.004347,-0.002316
-0.014394,0.005145,-0.00159
-0.013792,0.005029,-0.001474
-0.012966,0.004306,-0.001893
-0.012849,0.004965,-0.00191
-0.012799,0.005476,-0.001617
-0.012657,0.004824,-0.002391
-0.011438,0.004505,-0.001807
-0.011375,0.005078,-0.002071
-0.010819,0.005308,-0.001485
-0.010708,0.005218,-0.00252
-0.010082,0.005186,-0.002543
-0.008902,0.004388,-0.00199
-0.00974,0.004504,-0.00255
-0.009169,0.004919,-0.002184
-0.009216,0.005464,-0.001949
