"Points:0","Points:1","Points:2"
-0.012501,0.001306,-0.002405
-0.011978,0.000469,-0.00198
-0.012142,0.001046,-0.002117
-0.011177,0.001303,-0.002387
-0.010431,0.000881,-0.002192
-0.010092,0.001279,-0.0022
-0.008509,0.000914,-0.002275
-0.006449,0.000667,-0.002312
-0.003526,0.001562,-0.002263
-0.003964,0.001644,-0.002294
-0.002359,0.001591,-0.002343
-0.00091,0.001229,-0.0019
-0.000738,0.000552,-0.002395
0.000763,0.001568,-0.002291
0.002969,0.000867,-0.00199
-0.019784,0.002498,-0.002776
-0.019606,0.00233,-0.002019
-0.019039,0.001872,-0.002614
-0.018403,0.002087,-0.002155
-0.017757,0.002461,-0.001981
-0.017667,0.002111,-0.002519
-0.016759,0.00177,-0.002365
-0.017215,0.002424,-0.002272
-0.016277,0.002151,-0.002394
-0.015277,0.002042,-0.002007
-0.014741,0.001984,-0.002382
-0.014403,0.002486,-0.001999
-0.013118,0.00175,-0.002447
-0.01287,0.001995,-0.002456
-0.012681,0.00262,-0.002395
-0.011774,0.00226,-0.002159
-0.011862,0.001919,-0.002298
-0.010848,0.002673,-0.002335
-0.010129,0.002112,-0.002123
-0.009532,0.00246,-0.002271
-0.00896,0.002731,-0.00229
-0.008096,0.001851,-0.002256
-0.007447,0.002634,-0.00225
-0.00722,0.001967,-0.001957
-0.006625,0.002204,-0.00235
-0.006165,0.002513,-0.002305
-0.005786,0.001895,-0.002516
-0.005106,0.002279,-0.002254
-0.004391,0.002282,-0.002263
-0.004428,0.002748,-0.002207
-0.003262,0.002197,-0.002082
-0.003152,0.0028,-0.002469
-0.002005,0.002277,-0.001965
-0.001139,0.002025,-0.002161
0.001705,0.002167,-0.001914
-0.019996,0.003082,-0.002573
-0.019255,0.004147,-0.002374
-0.018881,0.003502,-0.002485
-0.018361,0.003325,-0.00248
-0.018003,0.003987,-0.00248
-0.017336,0.00313,-0.002596
-0.016791,0.003464,-0.002437
-0.016355,0.003616,-0.002129
-0.016303,0.004128,-0.002346
-0.015515,0.00369,-0.002298
-0.015385,0.003182,-0.00241
-0.01379,0.002997,-0.002326
-0.014579,0.003976,-0.00238
-0.013897,0.003288,-0.002366
-0.013415,0.003431,-0.002352
-0.013526,0.004021,-0.001876
-0.012416,0.004134,-0.002218
-0.011979,0.003448,-0.00237
-0.010371,0.003352,-0.002278
-0.008947,0.004081,-0.002285
-0.00839,0.003725,-0.002234
-0.007626,0.003171,-0.002075
-0.008235,0.003306,-0.001855
-0.006306,0.003066,-0.001969
-0.006852,0.003085,-0.002122
-0.00701,0.003925,-0.002175
-0.005791,0.003011,-0.002078
-0.00566,0.003876,-0.002163
-0.004013,0.003106,-0.001917
-0.004333,0.00319,-0.002204
-0.001089,0.003685,-0.002385
-0.001694,0.004159,-0.001892
0.000629,0.003524,-0.001885
-0.019259,0.004644,-0.002806
-0.019738,0.005446,-0.002556
-0.019347,0.00508,-0.002201
-0.018598,0.005386,-0.00288
-0.018271,0.004677,-0.002651
-0.017569,0.005394,-0.002511
-0.01744,0.004914,-0.002053
-0.017069,0.004847,-0.00242
-0.017008,0.005402,-0.002415
-0.016491,0.005039,-0.002376
-0.015487,0.00431,-0.002229
-0.015485,0.004695,-0.002088
-0.015157,0.005024,-0.001978
-0.014495,0.004624,-0.002175
-0.014111,0.005191,-0.002034
-0.013908,0.004615,-0.002493
-0.01388,0.005089,-0.001999
-0.013507,0.00467,-0.002392
-0.011693,0.004316,-0.002373
-0.011936,0.005251,-0.002377
-0.011312,0.005262,-0.002252
-0.011189,0.004833,-0.00203
-0.010308,0.005288,-0.002386
-0.009465,0.004699,-0.002131
-0.009064,0.005326,-0.002291
-0.008505,0.005391,-0.002233
-0.007948,0.005046,-0.00226
-0.007254,0.004987,-0.001984
-0.006288,0.004297,-0.002245
-0.006056,0.005483,-0.002075
-0.004587,0.004252,-0.002242
-0.003564,0.004448,-0.002022
-0.002832,0.004469,-0.002399
-0.00233,0.005184,-0.001998
-0.001009,0.004288,-0.002386
-0.001654,0.004697,-0.002181
-0.001424,0.005178,-0.001919
-0.00039,0.004991,-0.00234
0.00137,0.004399,-0.002023
0.002703,0.004357,-0.002228
-0.019761,0.006301,-0.002907
-0.019108,0.005937,-0.002892
-0.018836,0.006606,-0.002828
-0.019331,0.00641,-0.001936
-0.018197,0.005517,-0.002691
-0.017725,0.00631,-0.002752
-0.018556,0.006436,-0.002481
-0.0186,0.00617,-0.001889
-0.016888,0.00676,-0.002185
-0.016408,0.005703,-0.002117
-0.015893,0.006497,-0.002402
-0.015322,0.005861,-0.002356
-0.014998,0.006403,-0.002375
-0.013904,0.005637,-0.00227
-0.014503,0.00613,-0.00187
-0.012803,0.00566,-0.002482
-0.013242,0.006429,-0.002245
-0.012736,0.005994,-0.002228
-0.012237,0.006053,-0.002194
-0.012059,0.006659,-0.002237
-0.011714,0.005834,-0.002281
-0.01089,0.006192,-0.002374
-0.010472,0.006193,-0.00231
-0.009047,0.005902,-0.002177
-0.00926,0.006375,-0.001996
-0.008851,0.006583,-0.002189
-0.008296,0.005963,-0.001976
-0.008415,0.006731,-0.002264
-0.007913,0.006444,-0.002169
-0.007474,0.005862,-0.002275
-0.006395,0.006329,-0.001985
-0.005712,0.006314,-0.001922
-0.00465,0.006106,-0.002151
-0.003093,0.005731,-0.002217
-0.001424,0.005758,-0.002223
0.000152,0.006069,-0.002014
0.001363,0.005667,-0.00224
-0.019751,0.00772,-0.00265
-0.019111,0.007105,-0.002893
-0.018702,0.007387,-0.002772
-0.017722,0.007733,-0.002851
-0.01719,0.00766,-0.002432
-0.0168,0.007283,-0.002183
-0.016193,0.007115,-0.00262
-0.015721,0.00786,-0.002378
-0.014964,0.007184,-0.002224
-0.014889,0.007159,-0.002414
-0.014542,0.007783,-0.002372
-0.014501,0.007488,-0.002435
-0.01379,0.006998,-0.001872
-0.013309,0.007101,-0.002276
-0.012994,0.007522,-0.002398
-0.011503,0.006829,-0.002106
-0.011648,0.007914,-0.002328
-0.012007,0.007433,-0.001946
-0.010951,0.006781,-0.00239
-0.010242,0.007559,-0.002311
-0.009691,0.007666,-0.001981
-0.008621,0.00766,-0.001937
-0.00918,0.008049,-0.002014
-0.007278,0.006809,-0.001996
-0.007871,0.00753,-0.002229
-0.007668,0.007969,-0.00196
-0.007468,0.007145,-0.002047
-0.006007,0.00685,-0.002065
-0.004568,0.007482,-0.001964
-0.003351,0.006977,-0.002162
-0.001943,0.007004,-0.002238
-0.019506,0.008197,-0.00261
-0.019226,0.00853,-0.002361
-0.018714,0.008125,-0.002959
-0.018655,0.008488,-0.002615
-0.018472,0.009078,-0.002561
-0.017971,0.008805,-0.002448
-0.017465,0.008927,-0.002386
-0.016636,0.008239,-0.002737
-0.017024,0.008986,-0.002136
-0.016278,0.00886,-0.002201
-0.01528,0.008217,-0.002431
-0.012904,0.008789,-0.002389
-0.011237,0.009124,-0.002205
-0.010049,0.008149,-0.002264
-0.010496,0.008645,-0.002241
-0.009291,0.008819,-0.002078
-0.007858,0.008904,-0.002008
-0.006996,0.008581,-0.002146
-0.005941,0.008214,-0.002206
-0.016236,0.009789,-0.002787
-0.014991,0.009357,-0.00258
-0.015706,0.009608,-0.00213
-0.014724,0.009997,-0.001988
-0.013029,0.009466,-0.002131
-0.013559,0.010216,-0.002157
-0.009565,0.00938,-0.002211
-0.008441,0.009413,-0.002081
-0.008516,0.009881,-0.001873
-0.007662,0.009662,-0.002264
-0.006426,0.010373,-0.002244
-0.014455,0.01083,-0.002499
-0.013612,0.011101,-0.002603
-0.00913,-0.007746,-0.001468
-0.019711,-0.00631,-0.001519
-0.019664,-0.00684,-0.000955
-0.019075,-0.006208,-0.001279
-0.018635,-0.00706,-0.0014
-0.01814,-0.006418,-0.001266
-0.017833,-0.006079,-0.001054
-0.015448,-0.006104,-0.001607
-0.01514,-0.007085,-0.00114
-0.013997,-0.006333,-0.001602
-0.013569,-0.007069,-0.001284
-0.013396,-0.006055,-0.001016
-0.011384,-0.006346,-0.001073
-0.009533,-0.006497,-0.00103
-0.008306,-0.006438,-0.001058
-0.019516,-0.005373,-0.001359
-0.019496,-0.004873,-0.001517
-0.019094,-0.005177,-0.001812
-0.018824,-0.00561,-0.001265
-0.017917,-0.005145,-0.001635
-0.01633,-0.005937,-0.001595
-0.017075,-0.00544,-0.001002
-0.015492,-0.005309,-0.001584
-0.015631,-0.005956,-0.000976
-0.01605,-0.005759,-0.001348
-0.014403,-0.005812,-0.001084
-0.014748,-0.005061,-0.001169
-0.013764,-0.005439,-0.001267
-0.012829,-0.005641,-0.001187
-0.011553,-0.005756,-0.001822
-0.011148,-0.005552,-0.001436
-0.01233,-0.005026,-0.001125
-0.011851,-0.005681,-0.001258
-0.010648,-0.005476,-0.001092
-0.010088,-0.00566,-0.001097
-0.009785,-0.00555,-0.001459
-0.008794,-0.005828,-0.001246
-0.007358,-0.004894,-0.001609
-0.00767,-0.005913,-0.001134
-0.006805,-0.005539,-0.001061
-0.006176,-0.00498,-0.001126
-0.004854,-0.005141,-0.001545
-0.004187,-0.004714,-0.001469
0.000712,-0.004729,-0.001354
-0.019653,-0.003919,-0.001374
-0.019125,-0.003468,-0.001334
-0.018885,-0.004454,-0.000962
-0.018178,-0.004103,-0.001239
-0.016931,-0.003771,-0.001508
-0.017299,-0.004109,-0.001101
-0.016259,-0.004414,-0.001194
-0.015513,-0.003604,-0.00153
-0.014679,-0.004254,-0.000987
-0.014224,-0.004137,-0.00109
-0.012797,-0.004657,-0.001382
-0.012825,-0.003438,-0.001641
-0.013406,-0.004292,-0.001331
-0.011167,-0.003959,-0.001413
-0.011535,-0.004678,-0.001311
-0.011753,-0.003749,-0.001276
-0.01013,-0.00446,-0.001386
-0.009177,-0.003545,-0.001624
-0.009598,-0.004685,-0.001221
-0.008566,-0.004551,-0.000859
-0.00874,-0.003763,-0.001011
-0.007795,-0.004214,-0.001458
-0.007631,-0.003866,-0.001025
-0.00658,-0.004519,-0.001755
-0.007072,-0.003585,-0.00103
-0.005974,-0.004025,-0.001628
-0.005753,-0.004652,-0.00107
-0.00504,-0.00463,-0.001333
-0.004799,-0.004136,-0.00122
-0.004194,-0.003769,-0.00109
-0.002161,-0.004315,-0.00169
-0.002774,-0.004298,-0.001163
-0.001081,-0.004316,-0.001152
-0.000448,-0.00437,-0.001588
0.001884,-0.003481,-0.00126
-0.0193,-0.002586,-0.001298
-0.018242,-0.002622,-0.001329
-0.018049,-0.003237,-0.00094
-0.016649,-0.002579,-0.001358
-0.017344,-0.002557,-0.001275
-0.016614,-0.002778,-0.000792
-0.015762,-0.002296,-0.00144
-0.015342,-0.003396,-0.00121
-0.015406,-0.002994,-0.001014
-0.014147,-0.002617,-0.000987
-0.014118,-0.002914,-0.001262
-0.012383,-0.003361,-0.0016
-0.013269,-0.003092,-0.001346
-0.013054,-0.002447,-0.000759
-0.01171,-0.002346,-0.001534
-0.012138,-0.002525,-0.001274
-0.010929,-0.002448,-0.001586
-0.010734,-0.002959,-0.0014
-0.0103,-0.003367,-0.001296
-0.009799,-0.002412,-0.001021
-0.009447,-0.00281,-0.001353
-0.00825,-0.003122,-0.001391
-0.007986,-0.00269,-0.001423
-0.006121,-0.002957,-0.001715
-0.005992,-0.003381,-0.000874
-0.007242,-0.002699,-0.001043
-0.006543,-0.002217,-0.001055
