"Points:0","Points:1","Points:2"
-0.018393,0.005539,-0.002886
-0.013612,-0.004735,-0.001632
-0.009684,-0.004712,-0.001709
-0.019322,-0.004452,-0.002115
-0.018279,-0.003441,-0.001802
-0.01771,-0.004065,-0.002056
-0.016659,-0.00382,-0.001783
-0.016594,-0.00431,-0.001627
-0.015461,-0.004243,-0.001812
-0.015315,-0.003516,-0.00246
-0.014846,-0.004631,-0.002207
-0.014149,-0.004561,-0.002199
-0.014634,-0.004062,-0.001985
-0.013865,-0.003654,-0.002444
-0.01326,-0.003953,-0.002211
-0.012606,-0.0041,-0.002069
-0.012293,-0.003569,-0.002064
-0.012022,-0.004202,-0.002098
-0.010777,-0.004487,-0.002158
-0.010377,-0.003657,-0.00198
-0.008587,-0.003943,-0.002324
-0.008046,-0.003787,-0.002023
-0.007402,-0.003902,-0.001878
-0.007804,-0.004395,-0.002361
-0.008296,-0.004365,-0.0016
-0.007135,-0.004418,-0.001785
-0.003278,-0.004446,-0.002032
-0.002971,-0.003693,-0.001942
-0.002347,-0.004068,-0.002182
-0.000875,-0.003884,-0.002215
-0.019638,-0.002738,-0.002251
-0.019053,-0.002469,-0.001772
-0.016778,-0.00305,-0.001726
-0.015985,-0.003148,-0.002066
-0.015864,-0.002235,-0.001859
-0.015317,-0.002184,-0.002059
-0.015243,-0.00296,-0.002336
-0.014667,-0.003269,-0.002322
-0.014014,-0.003285,-0.002455
-0.014405,-0.002417,-0.002475
-0.01355,-0.002724,-0.001819
-0.01309,-0.002299,-0.001895
-0.012461,-0.002687,-0.002332
-0.011982,-0.002889,-0.002014
-0.011369,-0.002579,-0.002065
-0.011375,-0.003226,-0.002228
-0.010865,-0.003133,-0.002012
-0.009983,-0.002663,-0.002006
-0.00959,-0.0033,-0.001728
-0.008974,-0.00257,-0.002182
-0.008739,-0.003019,-0.002357
-0.007982,-0.002969,-0.002119
-0.007457,-0.003212,-0.002371
-0.007788,-0.002247,-0.002212
-0.005362,-0.003296,-0.002111
-0.005678,-0.002362,-0.001668
-0.004488,-0.002351,-0.002206
-0.004519,-0.002725,-0.001762
-0.003213,-0.002969,-0.00223
-0.001435,-0.002798,-0.002179
-0.000563,-0.002816,-0.001979
0.000121,-0.002561,-0.002069
-0.018939,-0.001539,-0.002582
-0.018358,-0.001447,-0.002325
-0.017723,-0.000881,-0.001633
-0.017465,-0.001443,-0.002121
-0.016844,-0.001644,-0.002044
-0.016651,-0.00192,-0.001719
-0.015652,-0.001314,-0.00256
-0.01495,-0.001256,-0.002538
-0.01416,-0.001526,-0.001814
-0.013992,-0.001613,-0.002133
-0.013395,-0.001355,-0.002371
-0.012373,-0.00111,-0.002231
-0.011828,-0.00106,-0.002163
-0.011646,-0.001815,-0.002288
-0.01138,-0.001088,-0.002066
-0.010037,-0.00214,-0.002116
-0.010724,-0.001651,-0.00227
-0.010419,-0.001311,-0.00226
-0.008861,-0.002091,-0.001763
-0.008957,-0.001835,-0.002316
-0.009001,-0.001137,-0.002278
-0.008354,-0.001367,-0.001934
-0.007854,-0.001543,-0.002094
-0.007871,-0.00095,-0.002003
-0.006178,-0.001552,-0.001752
-0.005739,-0.001681,-0.002178
-0.004473,-0.002011,-0.001642
-0.003763,-0.002007,-0.00177
-0.003389,-0.00129,-0.002289
-0.002619,-0.000961,-0.00179
-0.002106,-0.001163,-0.002355
-0.000728,-0.000933,-0.002122
0.000418,-0.002064,-0.001991
0.001047,-0.002073,-0.001649
0.00212,-0.001736,-0.002217
-0.019396,-0.000243,-0.002679
-0.019127,-0.00049,-0.002319
-0.018969,0.000316,-0.002583
-0.018017,-0.000635,-0.002825
-0.018498,-0.000784,-0.00223
-0.018721,-0.000131,-0.002438
-0.016758,0.00016,-0.002575
-0.016732,-0.000346,-0.00246
-0.016492,-0.000539,-0.001886
-0.015593,0.000154,-0.002452
-0.015503,-0.000322,-0.002087
-0.015022,-0.000538,-0.002042
-0.013801,-0.000715,-0.002324
-0.014203,-0.000184,-0.002222
-0.013841,0.000141,-0.002023
-0.012867,7.9e-05,-0.002188
-0.012341,0.000363,-0.002408
-0.012108,-0.000653,-0.002124
-0.011359,-0.000317,-0.002185
-0.010792,-0.000391,-0.002219
-0.011061,0.000375,-0.001694
-0.010099,-0.000522,-0.002162
-0.010327,0.000236,-0.002286
-0.009739,-0.000285,-0.001929
-0.009084,-0.00038,-0.002229
-0.009209,0.000374,-0.001956
-0.008453,0.000107,-0.002272
-0.007592,-0.000679,-0.00174
-0.007302,-6.2e-05,-0.002332
-0.00637,-0.00076,-0.002299
-0.006723,-0.000592,-0.002021
-0.006001,0.000128,-0.001884
-0.005089,-0.000509,-0.002399
-0.003465,0.00022,-0.002379
-0.002406,-0.000353,-0.0018
-0.001366,-0.000381,-0.001886
-0.001504,0.000144,-0.00206
0.001317,-0.000425,-0.002359
0.001983,-0.000475,-0.002201
0.002528,-0.000678,-0.001888
0.003093,-0.000199,-0.002149
-0.019798,0.000544,-0.00273
-0.019318,0.000608,-0.002583
-0.018682,0.001016,-0.002762
-0.018527,0.00159,-0.002701
-0.018205,0.001075,-0.001722
-0.017231,0.000987,-0.00258
-0.01657,0.001274,-0.002409
-0.01634,0.001563,-0.002431
-0.016329,0.000891,-0.002344
-0.015601,0.001412,-0.002184
-0.01542,0.00068,-0.002574
-0.013819,0.000569,-0.002427
-0.014485,0.001205,-0.002466
-0.014308,0.001644,-0.001893
-0.013426,0.000433,-0.001979
-0.012746,0.001329,-0.002217
-0.012776,0.000833,-0.002207
-0.012014,0.000423,-0.002305
-0.011885,0.000877,-0.001656
-0.011195,0.001533,-0.002314
-0.010478,0.001334,-0.002307
-0.009744,0.000923,-0.001906
-0.00923,0.001127,-0.0023
-0.009283,0.001027,-0.001703
-0.00846,0.000959,-0.002261
-0.007794,0.000724,-0.001797
-0.007145,0.000475,-0.002322
-0.006919,0.001268,-0.002391
-0.005692,0.000675,-0.002095
-0.005352,0.001618,-0.001821
-0.00431,0.001441,-0.002501
-0.004226,0.001584,-0.001854
-0.003968,0.00087,-0.002233
-0.003661,0.001093,-0.001814
-0.003127,0.001024,-0.002087
-0.002413,0.000753,-0.002361
-0.001808,0.001444,-0.002046
-0.000412,0.000974,-0.001729
0.00076,0.001589,-0.002202
0.001498,0.001504,-0.001732
0.002162,0.000415,-0.002181
0.002533,0.001561,-0.001966
0.00327,0.00126,-0.001999
0.004569,0.001279,-0.001868
-0.019464,0.002798,-0.00285
-0.019612,0.001931,-0.002336
-0.019183,0.001978,-0.002503
-0.018775,0.002173,-0.001618
-0.018272,0.002805,-0.002821
-0.018192,0.002176,-0.002816
-0.017758,0.001946,-0.00238
-0.017554,0.002494,-0.001908
-0.017101,0.002606,-0.002417
-0.017038,0.002153,-0.001908
-0.016185,0.002426,-0.002435
-0.015171,0.001696,-0.002346
-0.015714,0.001966,-0.002572
-0.014462,0.002322,-0.002415
-0.014605,0.00284,-0.00183
-0.014262,0.002419,-0.001854
-0.013325,0.001862,-0.002428
-0.012873,0.001941,-0.002401
-0.012612,0.0022,-0.001921
-0.012003,0.002389,-0.002264
-0.011571,0.002542,-0.001782
-0.011502,0.002339,-0.001963
-0.01105,0.002565,-0.00197
-0.010728,0.002223,-0.002175
-0.009902,0.002717,-0.002289
-0.009346,0.002612,-0.002216
-0.008944,0.002456,-0.001869
-0.008342,0.001714,-0.002129
-0.008219,0.002663,-0.002391
-0.008458,0.002708,-0.001629
-0.007172,0.002799,-0.002393
-0.005838,0.002512,-0.001862
-0.005502,0.002206,-0.002135
-0.005187,0.0023,-0.002145
-0.004852,0.00221,-0.001978
-0.003839,0.002361,-0.002414
-0.002654,0.001741,-0.002248
-0.002234,0.002573,-0.00236
-0.001523,0.001679,-0.002047
-0.001326,0.002698,-0.002156
-0.000502,0.001795,-0.002305
8.1e-05,0.002938,-0.002049
0.001403,0.002136,-0.001927
0.002354,0.002076,-0.001901
0.003584,0.002412,-0.001808
-0.019781,0.003468,-0.002839
-0.018971,0.00297,-0.002293
-0.019004,0.003414,-0.002544
-0.018325,0.00414,-0.002844
-0.018351,0.003506,-0.002236
-0.01816,0.003928,-0.002027
-0.017334,0.00345,-0.002587
-0.016268,0.003971,-0.002157
-0.016149,0.00324,-0.002036
-0.01611,0.003624,-0.002245
-0.015896,0.004113,-0.00197
-0.015575,0.003586,-0.002448
-0.014736,0.003083,-0.002337
-0.014424,0.004128,-0.00207
-0.014482,0.003283,-0.001764
-0.01384,0.003912,-0.001886
-0.013044,0.003004,-0.002247
-0.013289,0.004097,-0.002212
-0.013366,0.003595,-0.002427
-0.012543,0.003174,-0.00186
-0.01224,0.004038,-0.002353
-0.011755,0.004016,-0.001888
-0.011237,0.003427,-0.002311
-0.010267,0.003426,-0.002094
-0.010187,0.004136,-0.001689
-0.009754,0.003912,-0.002206
-0.008182,0.003835,-0.002133
-0.008197,0.003501,-0.00218
-0.008199,0.0035,-0.00218
-0.007779,0.004018,-0.002189
-0.007781,0.004037,-0.002175
-0.007275,0.003395,-0.002341
-0.006593,0.003777,-0.002299
-0.005953,0.003063,-0.001608
-0.005292,0.003558,-0.002007
-0.004736,0.003535,-0.002234
-0.003868,0.002979,-0.001838
-0.003978,0.003977,-0.001984
-0.003514,0.003808,-0.00223
-0.003398,0.003006,-0.002133
-0.003213,0.003151,-0.001983
-0.002781,0.003303,-0.001905
-0.002428,0.00416,-0.002257
-0.001831,0.003363,-0.001802
-0.001194,0.003504,-0.002271
-0.000619,0.00338,-0.001624
6.6e-05,0.003764,-0.001703
-3e-05,0.004199,-0.002206
0.000693,0.003349,-0.001776
0.001703,0.00328,-0.002173
0.00173,0.004132,-0.001727
0.002167,0.003894,-0.002112
-0.019411,0.005413,-0.002676
-0.018926,0.004449,-0.002827
-0.018911,0.005188,-0.002778
-0.019825,0.004948,-0.002341
-0.019618,0.004531,-0.002241
-0.019553,0.004411,-0.002397
-0.017948,0.005164,-0.002516
-0.017895,0.004869,-0.002559
-0.017322,0.004309,-0.002618
-0.017331,0.004943,-0.002111
-0.01716,0.005219,-0.001931
-0.01631,0.005009,-0.002416
-0.015375,0.004937,-0.001698
-0.01521,0.005274,-0.002406
-0.014499,0.005452,-0.002177
-0.01449,0.004714,-0.00245
-0.01418,0.005056,-0.002338
-0.01392,0.00451,-0.002243
-0.013546,0.005392,-0.002536
-0.013242,0.004916,-0.002485
-0.01332,0.005274,-0.001724
-0.012874,0.004429,-0.002442
-0.011873,0.004799,-0.001842
-0.012024,0.004465,-0.001782
-0.011594,0.005235,-0.002263
-0.011209,0.00514,-0.00171
-0.010317,0.004965,-0.002142
-0.010105,0.004826,-0.001803
-0.009046,0.004476,-0.002281
-0.008512,0.004933,-0.002221
-0.008305,0.005407,-0.002117
-0.007406,0.004761,-0.002154
-0.007302,0.00444,-0.002222
-0.007173,0.005151,-0.002085
-0.006552,0.004824,-0.002179
-0.005077,0.004326,-0.002103
-0.004997,0.005151,-0.002291
-0.004389,0.004812,-0.001931
-0.004552,0.004475,-0.001867
-0.004109,0.004644,-0.001844
-0.003005,0.004332,-0.001904
-0.003135,0.005331,-0.002141
-0.002141,0.005359,-0.001838
-0.001864,0.004857,-0.001874
-0.00128,0.00471,-0.002167
-0.001366,0.004486,-0.001724
-0.001321,0.005484,-0.002153
-0.000713,0.004563,-0.001673
-0.000133,0.004842,-0.002202
0.001269,0.004838,-0.002089
0.003124,0.004841,-0.002152
-0.019081,0.006408,-0.002578
-0.017778,0.00614,-0.002807
-0.018724,0.006226,-0.002417
-0.016976,0.006148,-0.002649
-0.016894,0.005635,-0.002057
-0.016765,0.006436,-0.002086
-0.015974,0.006125,-0.001688
-0.015882,0.005707,-0.001681
-0.014944,0.006026,-0.002279
-0.014845,0.006655,-0.00237
-0.014282,0.006692,-0.001746
-0.014342,0.006115,-0.001734
-0.012875,0.005538,-0.00225
-0.013558,0.006033,-0.002454
-0.012383,0.005814,-0.001896
-0.01185,0.0065,-0.002378
-0.011518,0.005777,-0.002315
-0.010842,0.006426,-0.002481
-0.009637,0.005696,-0.002214
-0.008832,0.006039,-0.001757
-0.009092,0.006499,-0.002324
-0.008269,0.006553,-0.001768
-0.007932,0.006099,-0.0019
-0.007366,0.006265,-0.001781
-0.007099,0.005521,-0.002065
-0.006608,0.005754,-0.001945
-0.006221,0.006523,-0.002029
-0.005995,0.006053,-0.001797
-0.005126,0.005693,-0.001651
-0.004377,0.00632,-0.002238
-0.003777,0.005788,-0.001673
-0.003444,0.006353,-0.001918
-0.002419,0.006391,-0.002033
-0.002795,0.005982,-0.001642
-0.000801,0.006394,-0.001926
0.000274,0.006451,-0.002105
0.000636,0.005661,-0.001601
-0.019733,0.006908,-0.002088
-0.019112,0.007996,-0.002211
-0.01757,0.006893,-0.002189
-0.01872,0.007301,-0.002086
-0.018521,0.007112,-0.002473
-0.018503,0.00752,-0.001843
-0.018094,0.007321,-0.0026
-0.016668,0.006836,-0.002749
-0.017039,0.007069,-0.002361
-0.017333,0.007544,-0.001713
-0.01705,0.008042,-0.001618
-0.016396,0.007635,-0.001688
-0.01545,0.006809,-0.001824
-0.015582,0.007313,-0.00197
-0.015344,0.007821,-0.002407
-0.014432,0.007554,-0.001807
-0.013724,0.007966,-0.001879
-0.012936,0.007969,-0.002219
-0.012524,0.007206,-0.001815
-0.012343,0.006841,-0.002423
-0.011559,0.006801,-0.002315
-0.012086,0.007953,-0.002007
-0.011828,0.007216,-0.002382
-0.011527,0.007847,-0.002086
-0.011117,0.007339,-0.002415
-0.0106,0.00725,-0.002389
-0.010544,0.007808,-0.002031
-0.009811,0.007002,-0.001811
-0.008623,0.007485,-0.001855
-0.008077,0.007183,-0.002184
-0.007793,0.007144,-0.002152
-0.007663,0.007971,-0.00165
-0.005945,0.007346,-0.001793
-0.00561,0.007814,-0.001832
-0.005097,0.006951,-0.001788
-0.00486,0.00744,-0.001908
-0.003934,0.006775,-0.001669
-0.00313,0.007209,-0.002161
-0.002296,0.007526,-0.00161
-0.001483,0.00746,-0.002135
-0.019702,0.008158,-0.001959
-0.016987,0.008249,-0.002623
-0.015928,0.008064,-0.002424
-0.015607,0.008442,-0.002172
-0.015062,0.008682,-0.002082
-0.01494,0.009092,-0.002584
-0.014524,0.008821,-0.001771
-0.014246,0.009106,-0.002157
-0.013908,0.009248,-0.001704
-0.011098,0.008213,-0.002391
-0.011721,0.008644,-0.002189
-0.010518,0.008458,-0.001691
-0.010032,0.008462,-0.001859
-0.009797,0.008796,-0.00205
-0.009392,0.008504,-0.001672
-0.008542,0.008263,-0.002179
-0.007662,0.008652,-0.002096
-0.006997,0.008348,-0.001883
-0.006479,0.008344,-0.001727
-0.005495,0.008685,-0.002038
-0.004338,0.008134,-0.002185
-0.001595,0.008401,-0.001741
-0.009568,0.009351,-0.002286
-0.006743,0.009712,-0.001936
-0.018184,-0.006858,-0.00156
-0.013068,-0.006781,-0.001548
-0.008067,-0.006519,-0.001472
-0.019196,-0.005788,-0.001114
-0.018301,-0.004807,-0.00108
-0.017561,-0.005055,-0.001095
-0.016738,-0.005096,-0.00126
-0.015547,-0.005645,-0.00126
-0.014956,-0.004909,-0.001005
-0.01361,-0.005454,-0.001184
-0.012435,-0.005777,-0.001238
-0.011864,-0.005169,-0.001017
-0.010617,-0.00554,-0.001095
-0.009785,-0.005133,-0.001073
-0.008663,-0.004988,-0.001042
-0.008034,-0.00511,-0.001078
-0.00722,-0.00531,-0.001108
-0.006492,-0.004843,-0.001087
-0.019229,-0.004634,-0.001567
-0.019893,-0.004692,-0.001223
-0.019016,-0.003457,-0.001284
-0.018617,-0.00408,-0.001484
-0.017803,-0.003547,-0.001334
-0.016003,-0.004347,-0.00147
-0.015441,-0.003432,-0.001219
-0.01413,-0.004644,-0.001238
-0.013118,-0.004619,-0.001215
-0.012615,-0.003735,-0.00127
-0.012134,-0.00462,-0.001423
-0.011412,-0.004686,-0.001311
-0.011254,-0.003848,-0.001346
-0.010191,-0.004448,-0.001527
-0.009698,-0.004493,-0.00138
-0.009442,-0.003768,-0.001296
-0.008046,-0.00373,-0.001197
-0.007085,-0.003686,-0.001237
-0.006501,-0.003713,-0.001286
-0.005965,-0.004564,-0.001464
-0.00575,-0.003756,-0.001197
-0.004907,-0.003668,-0.00131
-0.004724,-0.004184,-0.001109
-0.004341,-0.004297,-0.001455
-0.003029,-0.003628,-0.001274
-0.002611,-0.004499,-0.001269
-0.001584,-0.004163,-0.001414
-0.001671,-0.004638,-0.001114
-0.000264,-0.003625,-0.001127
0.000405,-0.003564,-0.00116
-0.019823,-0.003321,-0.001396
-0.019328,-0.002466,-0.001391
-0.018967,-0.002431,-0.000965
-0.017839,-0.002415,-0.001425
-0.017218,-0.003293,-0.001042
-0.016994,-0.002306,-0.000932
-0.015815,-0.002386,-0.000745
-0.013908,-0.003281,-0.001063
-0.014658,-0.002793,-0.000922
-0.013868,-0.002407,-0.000796
-0.013122,-0.002507,-0.001135
-0.012409,-0.002584,-0.000932
-0.011009,-0.002498,-0.001366
-0.009857,-0.00277,-0.001382
-0.010779,-0.003323,-0.000772
-0.009046,-0.002974,-0.00084
-0.0084,-0.002167,-0.001155
-0.00774,-0.002363,-0.001026
-0.006236,-0.002776,-0.00147
-0.006347,-0.002714,-0.000888
-0.004811,-0.002422,-0.000916
-0.003965,-0.003407,-0.001163
-0.002987,-0.002563,-0.001164
-0.001917,-0.00234,-0.001437
-0.001806,-0.003193,-0.001272
-0.001194,-0.00258,-0.001277
0.000914,-0.002303,-0.001163
0.001985,-0.002688,-0.001136
0.003322,-0.002253,-0.001414
-0.0195,-0.00175,-0.001525
-0.018342,-0.001311,-0.0012
-0.017854,-0.001881,-0.001016
-0.016006,-0.001246,-0.001375
-0.016029,-0.001193,-0.000665
-0.014918,-0.00127,-0.000717
-0.014827,-0.001488,-0.001288
-0.014054,-0.001379,-0.001215
-0.012653,-0.001274,-0.001376
-0.012648,-0.001405,-0.001193
-0.011196,-0.001355,-0.00138
-0.011615,-0.00173,-0.001198
-0.010064,-0.001041,-0.001401
-0.010981,-0.002006,-0.001002
-0.009958,-0.001235,-0.001166
-0.009594,-0.002093,-0.001106
-0.008751,-0.000935,-0.001126
-0.007479,-0.001785,-0.001392
