"Points:0","Points:1","Points:2"
-0.015699,-0.000438,-0.001381
-0.015102,-1.5e-05,-0.002432
-0.014994,0.000109,-0.00182
-0.015027,-0.000439,-0.001339
-0.013716,-0.000795,-0.001609
-0.013666,-8.9e-05,-0.001719
-0.013398,0.000269,-0.002224
-0.013201,-0.000506,-0.002474
-0.012436,0.000169,-0.001937
-0.011214,-0.000828,-0.001764
-0.01151,-0.000209,-0.002479
-0.011739,0.000181,-0.002398
-0.011423,-0.000702,-0.001313
-0.010394,-0.000209,-0.002343
-0.010953,-0.000271,-0.001728
-0.010821,0.000256,-0.001977
-0.010346,0.000309,-0.00201
-0.010022,-0.000698,-0.001713
-0.008998,-0.000743,-0.001527
-0.009652,-0.000411,-0.00222
-0.009281,0.000334,-0.001514
-0.008356,-0.000452,-0.001991
-0.007756,-0.000367,-0.002085
-0.007582,-0.0002,-0.00248
-0.0073,0.000128,-0.00214
-0.00707,-0.000597,-0.002219
-0.006777,-0.000595,-0.002423
-0.006389,-0.000676,-0.002537
-0.006114,-0.000251,-0.001934
-0.006959,-5.1e-05,-0.001342
-0.006118,0.000222,-0.001323
-0.005987,0.000382,-0.002532
-0.005597,-0.000816,-0.001831
-0.005206,-0.000644,-0.001374
-0.005368,0.000356,-0.00137
-0.004719,0.000277,-0.002282
-0.004317,-0.000396,-0.001874
-0.003704,-0.000328,-0.001998
-0.00312,-0.000704,-0.002201
-0.00258,-1.5e-05,-0.001594
-0.001133,-0.000464,-0.002159
-0.001933,0.000251,-0.001386
-0.001298,0.000374,-0.002137
-0.000937,-0.000211,-0.001606
-0.000868,-0.000865,-0.001874
0.000517,0.000142,-0.002188
0.001332,-0.000354,-0.001917
0.001947,-0.000366,-0.001855
-0.019985,0.001512,-0.001998
-0.019437,0.000751,-0.002018
-0.018803,0.000615,-0.002286
-0.018736,0.001423,-0.002196
-0.017888,0.000467,-0.002327
-0.018703,0.001661,-0.001986
-0.018592,0.000915,-0.002341
-0.018201,0.00104,-0.001893
-0.017192,0.000452,-0.002208
-0.017411,0.001655,-0.002206
-0.016964,0.000806,-0.001659
-0.016573,0.001137,-0.002293
-0.016279,0.00082,-0.002354
-0.016054,0.001017,-0.002074
-0.016106,0.001363,-0.001615
-0.015554,0.001258,-0.001497
-0.01528,0.001672,-0.001692
-0.014964,0.001666,-0.002499
-0.014126,0.001669,-0.00201
-0.013805,0.000884,-0.002542
-0.013105,0.000481,-0.002072
-0.012857,0.001384,-0.001324
-0.012094,0.000496,-0.001944
-0.012338,0.001419,-0.002393
-0.011755,0.000794,-0.00173
-0.010793,0.000825,-0.002114
-0.010575,0.001538,-0.002333
-0.01067,0.001082,-0.001379
-0.009965,0.000992,-0.002442
-0.009652,0.000571,-0.001761
-0.008757,0.000529,-0.00179
-0.009107,0.000437,-0.002136
-0.009108,0.001327,-0.002078
-0.008162,0.000794,-0.001553
-0.008309,0.00108,-0.002232
-0.007219,0.00153,-0.001958
-0.007161,0.000674,-0.002252
-0.006906,0.001071,-0.002045
-0.006623,0.001306,-0.00235
-0.006061,0.001264,-0.001546
-0.006173,0.0012,-0.001334
-0.005638,0.000534,-0.001563
-0.004163,0.000663,-0.001875
-0.004552,0.001583,-0.00166
-0.003612,0.00084,-0.0023
-0.003561,0.001353,-0.001669
-0.002475,0.001508,-0.00227
-0.003042,0.001504,-0.001346
-0.001667,0.00114,-0.001997
-0.00155,0.000719,-0.002155
