"Points:0","Points:1","Points:2"
-1.30840e-02,1.14800e-03,-2.34800e-03
-1.17150e-02,1.03900e-03,-2.21000e-03
-1.10620e-02,4.14000e-04,-1.86400e-03
-1.09440e-02,2.02300e-03,-2.40800e-03
-1.03290e-02,5.16000e-04,-2.47700e-03
-1.03510e-02,1.99100e-03,-2.09500e-03
-9.54100e-03,1.56600e-03,-1.79000e-03
-8.96900e-03,2.04100e-03,-2.16800e-03
-7.13600e-03,1.78900e-03,-2.14300e-03
-5.43900e-03,8.52000e-04,-1.77900e-03
-2.51800e-03,9.41000e-04,-2.74000e-03
-2.61900e-03,1.11000e-03,-1.85800e-03
-1.50900e-03,7.46000e-04,-1.74400e-03
-9.56000e-04,6.98000e-04,-3.13200e-03
2.84000e-04,7.07000e-04,-2.96800e-03
-7.86000e-04,1.63300e-03,-1.76600e-03
7.47000e-04,1.89400e-03,-1.95500e-03
2.24500e-03,9.08000e-04,-2.34900e-03
2.51100e-03,1.99400e-03,-2.48000e-03
3.54700e-03,1.06900e-03,-2.24100e-03
3.70300e-03,1.77000e-03,-2.07300e-03
-2.03340e-02,3.17400e-03,-2.04200e-03
-1.91960e-02,2.95600e-03,-2.40900e-03
-1.83960e-02,2.20500e-03,-2.07500e-03
-1.81010e-02,3.65100e-03,-2.28900e-03
-1.61280e-02,2.12000e-03,-2.67300e-03
-1.65470e-02,2.40000e-03,-2.54300e-03
-1.57450e-02,2.69000e-03,-1.90600e-03
-1.53790e-02,3.76100e-03,-2.67400e-03
-1.47190e-02,2.24300e-03,-2.81200e-03
-1.39160e-02,2.88800e-03,-2.67900e-03
-1.28790e-02,3.22300e-03,-2.08200e-03
-1.19890e-02,3.72300e-03,-2.13000e-03
-9.31500e-03,3.63700e-03,-2.45800e-03
-8.40200e-03,2.44800e-03,-1.87700e-03
-7.38900e-03,3.01100e-03,-1.90900e-03
-6.66500e-03,3.40700e-03,-1.83000e-03
-4.32300e-03,2.32100e-03,-2.01200e-03
-3.49700e-03,2.57500e-03,-2.04300e-03
-1.90500e-03,3.12700e-03,-2.35400e-03
-1.55500e-03,2.34400e-03,-2.75300e-03
-8.12000e-04,3.36300e-03,-1.76900e-03
3.40000e-05,2.21300e-03,-2.48100e-03
2.00000e-06,2.84700e-03,-2.42700e-03
-2.52000e-04,3.79300e-03,-2.25100e-03
4.75000e-04,3.43000e-03,-2.32500e-03
2.68200e-03,3.56000e-03,-2.05300e-03
4.90400e-03,3.19400e-03,-1.93200e-03
-2.18670e-02,4.13600e-03,-2.36100e-03
-2.00470e-02,4.63900e-03,-1.96300e-03
-1.88290e-02,4.57900e-03,-2.24300e-03
-1.76900e-02,4.96100e-03,-2.43700e-03
-1.64870e-02,3.84700e-03,-2.58000e-03
-1.55180e-02,4.44500e-03,-1.87000e-03
-1.46230e-02,4.36400e-03,-2.87000e-03
-1.39750e-02,5.02400e-03,-2.71300e-03
-1.04360e-02,3.82600e-03,-2.10500e-03
-1.04520e-02,5.47700e-03,-1.92700e-03
-1.01950e-02,4.64100e-03,-2.11800e-03
-9.24600e-03,5.31500e-03,-1.77600e-03
-7.73300e-03,4.73100e-03,-2.30400e-03
-3.98000e-03,4.71900e-03,-2.11800e-03
-4.56200e-03,5.05100e-03,-1.82300e-03
-1.80300e-03,5.06000e-03,-2.07500e-03
2.22200e-03,5.28600e-03,-1.81100e-03
-2.32190e-02,5.87500e-03,-2.83100e-03
-2.33400e-02,6.69700e-03,-2.07000e-03
-2.22860e-02,7.11600e-03,-2.79500e-03
-2.20440e-02,6.52600e-03,-1.78200e-03
-2.09180e-02,6.00100e-03,-2.38300e-03
-2.00280e-02,6.41500e-03,-1.78700e-03
-1.91120e-02,7.19400e-03,-1.91000e-03
-1.58960e-02,6.38500e-03,-2.10900e-03
-1.56410e-02,5.74200e-03,-2.41700e-03
-1.35270e-02,5.55400e-03,-2.27000e-03
-1.47720e-02,6.40700e-03,-2.20900e-03
-1.45280e-02,6.85700e-03,-2.20100e-03
-1.37680e-02,7.00000e-03,-2.44100e-03
-1.26850e-02,5.58500e-03,-2.56200e-03
-1.22970e-02,6.69300e-03,-2.10600e-03
-9.38500e-03,5.89300e-03,-1.89100e-03
-8.62800e-03,6.35300e-03,-2.17000e-03
-8.79200e-03,6.07000e-03,-1.80000e-03
-6.47600e-03,5.68700e-03,-2.22600e-03
-3.21900e-03,6.41000e-03,-2.06200e-03
-1.01000e-04,6.64800e-03,-1.79600e-03
7.15000e-04,5.75600e-03,-2.05000e-03
3.58000e-03,5.83800e-03,-2.17400e-03
-2.22650e-02,8.53700e-03,-2.07500e-03
-2.14200e-02,8.14600e-03,-2.53700e-03
-2.13660e-02,7.44000e-03,-2.01400e-03
-1.98750e-02,7.70000e-03,-2.38200e-03
-1.72110e-02,7.56300e-03,-2.03900e-03
-1.53340e-02,8.09100e-03,-2.20200e-03
-1.38660e-02,8.64700e-03,-2.26500e-03
-1.28250e-02,7.35700e-03,-2.56000e-03
-1.20410e-02,7.70400e-03,-2.47500e-03
-7.24600e-03,7.89500e-03,-2.12900e-03
-6.20700e-03,8.02500e-03,-1.87800e-03
-5.64800e-03,7.50400e-03,-2.17100e-03
-4.85100e-03,7.33600e-03,-2.29000e-03
-1.71600e-03,8.74800e-03,-1.90200e-03
6.70000e-04,7.42300e-03,-1.82800e-03
-2.15910e-02,8.94500e-03,-2.47700e-03
-2.09120e-02,9.46100e-03,-1.73700e-03
