"Points:0","Points:1","Points:2"
-0.019856,-0.004963,-0.002079
-0.0192,-0.00545,-0.001922
-0.018673,-0.005662,-0.001966
-0.018522,-0.005203,-0.002206
-0.017701,-0.005305,-0.002351
-0.016203,-0.005838,-0.001832
-0.017386,-0.0056,-0.002016
-0.016968,-0.005357,-0.001679
-0.016332,-0.004994,-0.002459
-0.015791,-0.00592,-0.002067
-0.015373,-0.005837,-0.002258
-0.015262,-0.005184,-0.001986
-0.015248,-0.005615,-0.001786
-0.014664,-0.004987,-0.001958
-0.01415,-0.005076,-0.002283
-0.013737,-0.004861,-0.001655
-0.010076,-0.004987,-0.002245
-0.009793,-0.005507,-0.002384
-0.009754,-0.005486,-0.001891
-0.009439,-0.005358,-0.002183
-0.008042,-0.00564,-0.002088
-0.007325,-0.004892,-0.00193
-0.00659,-0.004892,-0.00185
-0.019787,-0.00395,-0.001915
-0.019117,-0.003657,-0.002017
-0.019091,-0.004475,-0.002336
-0.018563,-0.004112,-0.002213
-0.018451,-0.003646,-0.002363
-0.018055,-0.004317,-0.002369
-0.017676,-0.003714,-0.002442
-0.017649,-0.004123,-0.002336
-0.017313,-0.004084,-0.002491
-0.016819,-0.004273,-0.00246
-0.016419,-0.003923,-0.002179
-0.015851,-0.004685,-0.002482
-0.016175,-0.003833,-0.002227
-0.015166,-0.004494,-0.002343
-0.015152,-0.003643,-0.002519
-0.014662,-0.004178,-0.002464
-0.013952,-0.004121,-0.001948
-0.012511,-0.004698,-0.002208
-0.013243,-0.004108,-0.002226
-0.012651,-0.003628,-0.00185
-0.012441,-0.00416,-0.001969
-0.011702,-0.004655,-0.002143
-0.011921,-0.004511,-0.002259
-0.011375,-0.00411,-0.001657
-0.010372,-0.004635,-0.002333
-0.009874,-0.004531,-0.001714
-0.010912,-0.004399,-0.002255
-0.010473,-0.003516,-0.002138
-0.008767,-0.004587,-0.002237
-0.009651,-0.003586,-0.00181
-0.007997,-0.004571,-0.001828
-0.008478,-0.003783,-0.002003
-0.007986,-0.003548,-0.001968
-0.007415,-0.004213,-0.002018
-0.006926,-0.004254,-0.001827
-0.006546,-0.003525,-0.002172
-0.005197,-0.004594,-0.001758
-0.002286,-0.004423,-0.002132
-0.001985,-0.003598,-0.00166
-0.019904,-0.003132,-0.002329
